SHOT_RESULT,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,player_name,player_id
missed,21400696,"JAN 30, 2015 - PHI vs. MIN",H,W,9,5,2,126,7.0,5,4.6,5.8,2,"Pekovic, Nikola",201593,0.8,michael carter-williams,203487
made,21400805,"FEB 20, 2015 - TOR @ ATL",A,W,25,7,4,573,12.4,0,0.9,24.1,3,"Schroder, Dennis",203471,6.5,greivis vasquez,202349
made,21400141,"NOV 15, 2014 - PHX @ LAC",A,L,-13,9,2,28,11.0,0,0.9,23.7,3,"Barnes, Matt",2440,2.0,gerald green,101123
made,21400179,"NOV 21, 2014 - WAS vs. CLE",H,W,13,4,1,95,19.6,0,0.8,24.2,3,"Miller, Mike",2034,6.1,bradley beal,203078
missed,21400738,"FEB 04, 2015 - NOP vs. OKC",H,L,-11,4,2,602,13.2,0,0.9,25.8,3,"Collison, Nick",2555,6.3,ryan anderson,201583
missed,21400073,"NOV 07, 2014 - PHI vs. CHI",H,L,-3,1,1,632,18.1,0,1.0,23.8,3,"Noah, Joakim",201149,7.0,luc mbah a moute,201601
made,21400098,"NOV 10, 2014 - NOP @ CLE",A,L,-7,8,2,475,9.0,3,4.5,17.8,2,"Thompson, Tristan",202684,4.5,ryan anderson,201583
made,21400590,"JAN 16, 2015 - BKN @ WAS",A,W,22,5,2,269,9.8,2,5.8,5.9,2,"Seraphin, Kevin",202338,3.5,mason plumlee,203486
made,21400785,"FEB 10, 2015 - SAC @ CHI",A,L,-18,16,4,641,12.8,5,5.6,14.6,2,"Mirotic, Nikola",202703,2.5,rudy gay,200752
missed,21400514,"JAN 05, 2015 - MIN vs. DEN",H,L,-9,13,4,318,19.0,8,6.7,25.5,3,"Nurkic, Jusuf",203994,5.3,mo williams,2590
missed,21400690,"JAN 28, 2015 - LAC @ UTA",A,W,5,11,4,322,13.1,0,1.0,23.8,3,"Hayward, Gordon",202330,7.4,matt barnes,2440
missed,21400865,"FEB 27, 2015 - MIA @ NOP",A,L,-2,12,4,429,8.4,0,1.1,23.7,3,"Babbitt, Luke",202337,5.6,dwayne wade,2548
missed,21400698,"JAN 30, 2015 - HOU @ BOS",A,W,6,4,2,705,24.0,0,0.2,0.6,2,"Wallace, Gerald",2222,3.0,trevor ariza,2772
